SampleID	Population
AFR___MSL___HG03458	African
AFR___MSL___HG03460	African
AFR___MSL___HG03461	African
AFR___MSL___HG03462	African
AFR___MSL___HG03464	African
AFR___MSL___HG03469	African
AFR___MSL___HG03470	African
AFR___MSL___HG03472	African
AFR___MSL___HG03473	African
AFR___MSL___HG03476	African
AFR___MSL___HG03478	African
AFR___MSL___HG03479	African
AFR___MSL___HG03484	African
AFR___MSL___HG03485	African
AFR___MSL___HG03547	African
AFR___MSL___HG03548	African
AFR___MSL___HG03549	African
AFR___MSL___HG03556	African
AFR___MSL___HG03557	African
AFR___MSL___HG03558	African
AFR___MSL___HG03559	African
AFR___MSL___HG03563	African
AFR___MSL___HG03565	African
AFR___MSL___HG03567	African
AFR___MSL___HG03571	African
AFR___MSL___HG03572	African
AFR___MSL___HG03575	African
AFR___MSL___HG03577	African
AFR___MSL___HG03578	African
AFR___MSL___HG03583	African
AFR___YRI___NA18486	African
AFR___YRI___NA18488	African
AFR___YRI___NA18489	African
AFR___YRI___NA18499	African
AFR___YRI___NA18501	African
AFR___YRI___NA18502	African
AFR___YRI___NA18504	African
AFR___YRI___NA18505	African
AFR___YRI___NA18507	African
AFR___YRI___NA18508	African
AFR___YRI___NA18510	African
AFR___YRI___NA18511	African
AFR___YRI___NA18516	African
AFR___YRI___NA18517	African
AFR___YRI___NA18519	African
AFR___YRI___NA18520	African
AFR___YRI___NA18522	African
AFR___YRI___NA18523	African
AFR___YRI___NA18853	African
AFR___YRI___NA18856	African
AFR___YRI___NA18858	African
AFR___YRI___NA18861	African
AFR___YRI___NA18864	African
AFR___YRI___NA18865	African
AFR___YRI___NA18867	African
AFR___YRI___NA18868	African
AFR___YRI___NA18870	African
AFR___YRI___NA18871	African
AFR___YRI___NA18873	African
AFR___YRI___NA18874	African
AFR___YRI___NA18876	African
AFR___YRI___NA18877	African
AFR___YRI___NA18878	African
AFR___YRI___NA18879	African
AFR___YRI___NA18881	African
AFR___YRI___NA18907	African
AFR___YRI___NA18908	African
AFR___YRI___NA18909	African
AFR___YRI___NA18910	African
AFR___YRI___NA18912	African
AFR___YRI___NA18915	African
AFR___YRI___NA18916	African
AFR___YRI___NA18917	African
AFR___YRI___NA18923	African
AFR___YRI___NA18924	African
AFR___YRI___NA18933	African
AFR___YRI___NA18934	African
AFR___YRI___NA19092	African
AFR___YRI___NA19093	African
